[2025-04-28 22:54:56] [SOK] Beste aapning pa 42.8 grader, avstand 2055.5 cm.
[2025-04-28 22:54:56] [KORRIGERING] Avviker fra mål med 2e+02 grader, korrigerer med omega=90.0.
[2025-04-28 22:54:56] [SOK] Beste aapning pa 49.8 grader, avstand 2043.2 cm.
[2025-04-28 22:54:56] [KORRIGERING] Avviker fra mål med 2e+02 grader, korrigerer med omega=90.0.
[2025-04-28 22:54:56] [SOK] Beste aapning pa 49.8 grader, avstand 2043.2 cm.
[2025-04-28 22:54:56] [KORRIGERING] Avviker fra mål med 2e+02 grader, korrigerer med omega=90.0.
[2025-04-28 22:54:56] [SOK] Beste aapning pa 49.8 grader, avstand 2043.2 cm.
[2025-04-28 22:54:56] [KORRIGERING] Avviker fra mål med -2e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:56] [TILBAKE TIL IDLE] Kjoring mot aapning ferdig. Heading nå: 226.4 grader.
[2025-04-28 22:54:58] [HINDRING] Starter sok etter aapning.
[2025-04-28 22:54:58] [SOK] Beste aapning pa 50.5 grader, avstand 1825.0 cm.
[2025-04-28 22:54:58] [HINDRING] Aapning funnet, starter kjore mot aapning.
[2025-04-28 22:54:58] [SOK] Beste aapning pa 50.5 grader, avstand 1825.0 cm.
[2025-04-28 22:54:58] [KORRIGERING] Avviker fra mål med 2e+02 grader, korrigerer med omega=90.0.
[2025-04-28 22:54:58] [SOK] Beste aapning pa 50.3 grader, avstand 1813.5 cm.
[2025-04-28 22:54:58] [KORRIGERING] Avviker fra mål med 2e+02 grader, korrigerer med omega=90.0.
[2025-04-28 22:54:58] [SOK] Beste aapning pa 50.3 grader, avstand 1813.5 cm.
[2025-04-28 22:54:58] [KORRIGERING] Avviker fra mål med 2e+02 grader, korrigerer med omega=90.0.
[2025-04-28 22:54:58] [SOK] Beste aapning pa 50.3 grader, avstand 1813.5 cm.
[2025-04-28 22:54:58] [KORRIGERING] Avviker fra mål med 2e+02 grader, korrigerer med omega=90.0.
[2025-04-28 22:54:58] [SOK] Beste aapning pa 50.3 grader, avstand 1813.5 cm.
[2025-04-28 22:54:58] [KORRIGERING] Avviker fra mål med -2e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:58] [SOK] Beste aapning pa 52.0 grader, avstand 1802.5 cm.
[2025-04-28 22:54:58] [KORRIGERING] Avviker fra mål med -2e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:58] [SOK] Beste aapning pa 52.0 grader, avstand 1802.5 cm.
[2025-04-28 22:54:58] [KORRIGERING] Avviker fra mål med -2e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:58] [SOK] Beste aapning pa 52.0 grader, avstand 1802.5 cm.
[2025-04-28 22:54:58] [KORRIGERING] Avviker fra mål med -2e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:58] [SOK] Beste aapning pa 52.0 grader, avstand 1802.5 cm.
[2025-04-28 22:54:58] [KORRIGERING] Avviker fra mål med -2e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:58] [SOK] Beste aapning pa 58.8 grader, avstand 1755.0 cm.
[2025-04-28 22:54:58] [KORRIGERING] Avviker fra mål med -2e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:58] [SOK] Beste aapning pa 58.8 grader, avstand 1755.0 cm.
[2025-04-28 22:54:58] [KORRIGERING] Avviker fra mål med -2e+02 grader, korrigerer med omega=-90.0.
